feature,domain,std,abs_max
FREQ:hist_b15,freq,1.9656234e-06,0.00024408103
FREQ:hist_b16,freq,1.6677346e-05,0.0014644862
FREQ:hist_b17,freq,0.00010260939,0.01171589
FREQ:hist_b18,freq,0.0012391078,0.12106419
FREQ:hist_b19,freq,0.003683208,0.21527947
FREQ:hist_b20,freq,0.012974764,0.3231633
FREQ:hist_b21,freq,0.03611153,0.37124726
FREQ:hist_b22,freq,0.08273231,0.42640957
FREQ:hist_b23,freq,0.14274071,0.469856
FREQ:hist_b24,freq,0.1625186,0.51208204
FREQ:hist_b25,freq,0.14169988,0.5550403
FREQ:hist_b26,freq,0.06260599,0.524042
FREQ:hist_b27,freq,0.027404252,0.26580426
FREQ:hist_b28,freq,0.04380465,0.27141812
FREQ:hist_b29,freq,0.05090582,0.27361485
FREQ:hist_b30,freq,0.07435451,0.27385893
FREQ:hist_b31,freq,0.033864375,0.18525751
FREQ:hist_entropy,freq,0.246876,3.6009862
FREQ:cepstral_1,freq,0.29655883,3.2332935
FREQ:cepstral_2,freq,0.15307269,0.6355267
FREQ:cepstral_3,freq,0.08228574,0.61446494
FREQ:cepstral_4,freq,0.06459219,0.31664228
FREQ:cepstral_5,freq,0.033630226,0.355847
FREQ:cepstral_6,freq,0.04451846,0.25512958
FREQ:cepstral_7,freq,0.029460235,0.16829789
FREQ:cepstral_8,freq,0.024238974,0.14862038
TF:stft_mean,tf,0.000104327686,0.0032022865
TF:stft_std,tf,0.009313947,0.077862345
TF:stft_min,tf,3.0342117e-19,8.718512e-18
TF:stft_max,tf,0.57321715,6.117946
TF:stft_range,tf,0.57321715,6.117946
TF:stft_p10,tf,3.209155e-16,1.9286205e-15
TF:stft_p25,tf,5.0827697e-12,2.0073646e-11
TF:stft_p50,tf,6.1504875e-06,2.4256073e-05
TF:stft_p75,tf,0.0010279971,0.003353332
TF:stft_p90,tf,0.002990801,0.01020124
TF:stft_skew,tf,8.590033,66.88364
TF:stft_kurt,tf,453.27298,5469.627
TF:stft_entropy,tf,1.1867776,12.083553
TF:stft_crest,tf,13.55922,93.25273
TF:stft_rms,tf,0.00917008,0.077923454
TF:stft_gini,tf,0.057402845,0.9943793
TF:Et_mean,tf,0.026812198,0.8229876
TF:Et_std,tf,0.38102594,3.3816917
TF:Et_min,tf,0.18543656,0.6253481
TF:Et_max,tf,1.602031,22.320028
TF:Et_range,tf,1.7270112,22.231777
TF:Et_p25,tf,0.21845047,0.71518433
TF:Et_p75,tf,0.21809137,1.9926295
TF:Et_iqr,tf,0.37192515,1.9266874
TF:Et_skew,tf,0.77353084,6.097556
TF:Et_kurt,tf,2.9993205,38.34786
TF:Et_entropy,tf,0.47758874,5.926305
TF:Et_centroid,tf,5.1407948,55.268303
TF:Et_spread,tf,3.4084046,27.405556
TF:Ef_centroid,tf,218.71736,1001.62445
TF:Ef_spread,tf,103.22436,671.95355
TF:Ef_skew,tf,2.7567534,12.714243
TF:Ef_kurt,tf,35.49564,170.34506
TF:Ef_flatness,tf,4.5448254e-05,0.00017502956
TF:Ef_rolloff85,tf,391.99457,1621.0938
TF:Ef_rolloff95,tf,359.73154,1875.0
TF:Ef_rolloff99,tf,257.36612,2128.9062
TF:Ef_mean,tf,0.0063639944,0.19533947
TF:Ef_std,tf,0.25054908,1.9372249
TF:Ef_min,tf,1.1856268e-14,8.645285e-14
TF:Ef_max,tf,3.6820295,27.876822
TF:Ef_range,tf,3.6820295,27.876822
TF:Ef_p25,tf,5.995757e-10,3.0041925e-09
TF:Ef_p75,tf,0.11415964,0.4400586
TF:Ef_iqr,tf,0.11415964,0.4400586
TF:Ef_entropy,tf,0.8265861,6.727383
TF:Ef_peak_freq,tf,124.45707,1660.1562
TF:Ef_peak_amp,tf,3.6820295,27.876822
TF:Ef_n_peaks,tf,6.6315527,33.0
TF:Ef_harmonic_ratio,tf,0.053334415,0.608498
TF:flux_mean,tf,0.04695412,0.5102979
TF:flux_std,tf,0.09813192,0.5833263
TF:flux_max,tf,0.2674555,3.2878973
TF:divergence_mean,tf,0.112616524,1.2445947
TF:divergence_std,tf,0.1153666,1.2176757
TF:coherence_mean,tf,0.016952358,0.9951387
TF:coherence_std,tf,0.014059638,0.10553272
TF:novelty,tf,0.10781773,0.9666856
TF:mod0_centroid,tf,1.5016704,14.821372
TF:mod0_spread,tf,0.5434676,10.098149
TF:mod0_entropy,tf,0.18891706,4.841971
TF:mod1_centroid,tf,1.608838,15.081439
TF:mod1_spread,tf,0.54129106,9.932016
TF:mod1_entropy,tf,0.18276496,4.9019823
TF:mod2_centroid,tf,1.6867964,15.727189
TF:mod2_spread,tf,0.53992426,9.411254
TF:mod2_entropy,tf,0.19635698,4.902161
TF:mod3_centroid,tf,1.7281744,15.14165
TF:mod3_spread,tf,0.561031,9.929762
TF:mod3_entropy,tf,0.20358475,4.9050794
TF:mod4_centroid,tf,1.7351813,15.513334
TF:mod4_spread,tf,0.56472677,9.812461
TF:mod4_entropy,tf,0.20238476,4.902584
TF:mod5_centroid,tf,1.6581573,16.183346
TF:mod5_spread,tf,0.5480259,9.8154335
TF:mod5_entropy,tf,0.18364963,4.906335
TF:mod6_centroid,tf,1.6298637,15.645129
TF:mod6_spread,tf,0.5559495,9.662077
TF:mod6_entropy,tf,0.17597908,4.9061527
TF:mod7_centroid,tf,1.6180145,15.48482
TF:mod7_spread,tf,0.5569191,9.843468
TF:mod7_entropy,tf,0.17121315,4.9065065
TF:mod8_centroid,tf,1.5856018,15.614891
TF:mod8_spread,tf,0.5485741,9.7695055
TF:mod8_entropy,tf,0.16242518,4.905327
TF:mod9_centroid,tf,1.5162218,15.633821
TF:mod9_spread,tf,0.5389486,9.766692
TF:mod9_entropy,tf,0.15199466,4.9056764
TF:mod10_centroid,tf,1.8933966,15.2635355
TF:mod10_spread,tf,0.5139065,11.1226225
TF:mod10_entropy,tf,0.1011754,4.8891935
TF:mod11_centroid,tf,2.8042607,15.0447
TF:mod11_spread,tf,0.67287505,10.8456745
TF:mod11_entropy,tf,0.07016769,4.905445
TF:tfband_0,tf,2.4266706,26.773726
TF:tfband_1,tf,3.0293837,23.424791
TF:tfband_2,tf,5.8926115,44.943954
TF:tfband_3,tf,2.7036898,22.285229
TF:tfband_4,tf,2.2692704,26.841743
TF:DWT_L0_mean,tf,0.29914972,1.8276799
TF:DWT_L0_std,tf,1.1719459,9.672603
TF:DWT_L0_var,tf,9.676886,93.559235
TF:DWT_L0_skew,tf,1.0189879,5.64902
TF:DWT_L0_kurt,tf,4.1108174,50.884983
TF:DWT_L0_min,tf,5.536706,56.18539
TF:DWT_L0_max,tf,5.9272156,55.809155
TF:DWT_L0_range,tf,9.921442,88.10787
TF:DWT_L0_median,tf,0.20751867,2.5951507
TF:DWT_L0_iqr,tf,1.490695,12.344416
TF:DWT_L0_mad,tf,0.7493371,6.31648
TF:DWT_L0_energy,tf,1305.4288,12984.553
TF:DWT_L0_log_energy,tf,0.27813458,4.113427
TF:DWT_L0_rms,tf,1.1752906,9.843761
TF:DWT_L0_entropy,tf,0.64624625,6.5031276
TF:DWT_L0_zcr,tf,0.055818673,0.81954885
TF:DWT_L0_p2p,tf,9.921442,88.10787
TF:DWT_L0_tk_mean,tf,13.889721,100.101585
TF:DWT_L0_tk_std,tf,31.53939,370.30463
TF:DWT_L0_tk_max,tf,223.21088,3366.7925
TF:DWT_L1_mean,tf,0.20423122,0.9411418
TF:DWT_L1_std,tf,0.825287,6.9967885
TF:DWT_L1_var,tf,5.562865,48.955048
TF:DWT_L1_skew,tf,0.69981235,8.329976
TF:DWT_L1_kurt,tf,4.9009676,86.44511
TF:DWT_L1_min,tf,4.0357475,53.602615
TF:DWT_L1_max,tf,4.2344146,45.32279
TF:DWT_L1_range,tf,7.482521,73.555084
TF:DWT_L1_median,tf,0.17920984,1.5231118
TF:DWT_L1_iqr,tf,1.5619544,13.797313
TF:DWT_L1_mad,tf,0.783418,6.896157
TF:DWT_L1_energy,tf,746.37274,6561.4873
TF:DWT_L1_log_energy,tf,0.24547169,3.8170023
TF:DWT_L1_rms,tf,0.825612,6.997594
TF:DWT_L1_entropy,tf,0.69610924,6.7041464
TF:DWT_L1_zcr,tf,0.06174069,0.90225565
TF:DWT_L1_p2p,tf,7.482521,73.555084
TF:DWT_L1_tk_mean,tf,9.573659,94.93164
TF:DWT_L1_tk_std,tf,15.10098,232.72675
TF:DWT_L1_tk_max,tf,127.87331,2677.1301
TF:DWT_L2_mean,tf,0.11430418,0.6596911
TF:DWT_L2_std,tf,0.37972528,3.6401947
TF:DWT_L2_var,tf,1.5988857,13.251017
TF:DWT_L2_skew,tf,0.645321,10.149804
TF:DWT_L2_kurt,tf,6.3899302,138.8832
TF:DWT_L2_min,tf,3.0101063,35.997456
TF:DWT_L2_max,tf,3.175236,33.79249
TF:DWT_L2_range,tf,5.5773206,50.374775
TF:DWT_L2_median,tf,0.114173785,0.6946287
TF:DWT_L2_iqr,tf,0.8129074,5.114218
TF:DWT_L2_mad,tf,0.4065779,2.563843
TF:DWT_L2_energy,tf,419.84274,3471.8823
TF:DWT_L2_log_energy,tf,0.16546538,3.540565
TF:DWT_L2_rms,tf,0.38005292,3.6402555
TF:DWT_L2_entropy,tf,0.7566497,7.4515557
TF:DWT_L2_zcr,tf,0.05720383,0.7816092
TF:DWT_L2_p2p,tf,5.5773206,50.374775
TF:DWT_L2_tk_mean,tf,1.7833513,19.041052
TF:DWT_L2_tk_std,tf,6.6009893,82.03452
TF:DWT_L2_tk_max,tf,78.06717,1295.5436
TF:DWT_L3_mean,tf,0.06113257,0.25348032
TF:DWT_L3_std,tf,0.31943563,2.7353845
TF:DWT_L3_var,tf,0.9250411,7.482329
TF:DWT_L3_skew,tf,0.593732,8.994371
TF:DWT_L3_kurt,tf,8.647148,166.6167
TF:DWT_L3_min,tf,2.3491044,22.663223
TF:DWT_L3_max,tf,2.4925928,24.791824
TF:DWT_L3_range,tf,4.412573,41.680565
TF:DWT_L3_median,tf,0.06122533,0.33288097
TF:DWT_L3_iqr,tf,0.64876586,3.4846787
TF:DWT_L3_mad,tf,0.32476476,1.7481408
TF:DWT_L3_energy,tf,479.77347,3876.555
TF:DWT_L3_log_energy,tf,0.21704614,3.588446
TF:DWT_L3_rms,tf,0.31965977,2.7356346
TF:DWT_L3_entropy,tf,0.8274349,8.205075
TF:DWT_L3_zcr,tf,0.039255947,0.7852998
TF:DWT_L3_p2p,tf,4.412573,41.680565
TF:DWT_L3_tk_mean,tf,0.92111766,8.788599
TF:DWT_L3_tk_std,tf,3.1856043,48.72294
TF:DWT_L3_tk_max,tf,48.981552,597.6271
TF:DWT_L4_mean,tf,0.03392721,0.17269307
TF:DWT_L4_std,tf,0.31993675,1.8232225
TF:DWT_L4_var,tf,0.6914892,3.3241405
TF:DWT_L4_skew,tf,0.5811996,11.35505
TF:DWT_L4_kurt,tf,12.663909,251.15526
TF:DWT_L4_min,tf,1.7021309,19.696733
TF:DWT_L4_max,tf,1.8096882,20.35869
TF:DWT_L4_range,tf,3.207343,29.960468
TF:DWT_L4_median,tf,0.03637302,0.20908742
TF:DWT_L4_iqr,tf,0.5906871,2.3669274
TF:DWT_L4_mad,tf,0.29550365,1.184382
TF:DWT_L4_energy,tf,712.89325,3424.1772
TF:DWT_L4_log_energy,tf,0.30697414,3.5345562
TF:DWT_L4_rms,tf,0.32009715,1.8233058
TF:DWT_L4_entropy,tf,0.8564553,9.081371
TF:DWT_L4_zcr,tf,0.042733766,0.70068026
TF:DWT_L4_p2p,tf,3.207343,29.960468
TF:DWT_L4_tk_mean,tf,0.6998527,3.729295
TF:DWT_L4_tk_std,tf,1.5460659,13.948144
TF:DWT_L4_tk_max,tf,27.81312,396.2181
TF:DWT_L5_mean,tf,0.0014877572,0.008899501
TF:DWT_L5_std,tf,0.24354905,1.2977713
TF:DWT_L5_var,tf,0.32935438,1.6842104
TF:DWT_L5_skew,tf,0.2471505,4.419561
TF:DWT_L5_kurt,tf,15.287003,365.63422
TF:DWT_L5_min,tf,1.1326003,14.089902
TF:DWT_L5_max,tf,1.0990014,10.930855
TF:DWT_L5_range,tf,2.1484766,24.736576
TF:DWT_L5_median,tf,0.009004989,0.059010476
TF:DWT_L5_iqr,tf,0.40856048,1.5878859
TF:DWT_L5_mad,tf,0.20435397,0.79521763
TF:DWT_L5_energy,tf,676.16785,3457.6865
TF:DWT_L5_log_energy,tf,0.39839342,3.5387857
TF:DWT_L5_rms,tf,0.24354978,1.2977718
TF:DWT_L5_entropy,tf,0.83103913,10.061634
TF:DWT_L5_zcr,tf,0.018445294,0.8226121
TF:DWT_L5_p2p,tf,2.1484766,24.736576
TF:DWT_L5_tk_mean,tf,0.31339532,1.3032527
TF:DWT_L5_tk_std,tf,0.4515732,4.259605
TF:DWT_L5_tk_max,tf,7.3786416,119.008896
TF:DWT_L6_mean,tf,2.3369335e-05,0.00017047135
TF:DWT_L6_std,tf,0.050321285,0.22815703
TF:DWT_L6_var,tf,0.013117231,0.05205563
TF:DWT_L6_skew,tf,0.28238297,4.699393
TF:DWT_L6_kurt,tf,16.68427,373.67624
TF:DWT_L6_min,tf,0.22883272,2.3038945
TF:DWT_L6_max,tf,0.21697883,2.325546
TF:DWT_L6_range,tf,0.4292733,4.133769
TF:DWT_L6_median,tf,0.0012999373,0.008629225
TF:DWT_L6_iqr,tf,0.08249917,0.30820394
TF:DWT_L6_mad,tf,0.041256756,0.15401576
TF:DWT_L6_energy,tf,53.767635,213.37602
TF:DWT_L6_log_energy,tf,0.43489113,2.3291457
TF:DWT_L6_rms,tf,0.050321285,0.22815703
TF:DWT_L6_entropy,tf,0.8232891,11.021498
TF:DWT_L6_zcr,tf,0.0248648,0.7262079
TF:DWT_L6_p2p,tf,0.4292733,4.133769
TF:DWT_L6_tk_mean,tf,0.015209703,0.07033851
TF:DWT_L6_tk_std,tf,0.018656598,0.17397384
TF:DWT_L6_tk_max,tf,0.31467637,5.216845
TF:WPT_aaaa_mean,tf,0.03690726,0.22538657
TF:WPT_aaaa_std,tf,0.55233973,4.0643005
TF:WPT_aaaa_var,tf,3.087163,16.518538
TF:WPT_aaaa_skew,tf,0.600115,9.365863
TF:WPT_aaaa_kurt,tf,4.574717,157.2745
TF:WPT_aaaa_min,tf,3.2967153,64.52852
TF:WPT_aaaa_max,tf,4.687648,50.33159
TF:WPT_aaaa_range,tf,7.0023518,82.137024
TF:WPT_aaaa_median,tf,0.14278165,1.3094103
TF:WPT_aaaa_iqr,tf,0.98241544,7.5799356
TF:WPT_aaaa_mad,tf,0.48746902,3.7037396
TF:WPT_aaaa_energy,tf,1598.921,8570.613
TF:WPT_aaaa_log_energy,tf,0.17948952,3.9330118
TF:WPT_aaaa_rms,tf,0.5522076,4.0676265
TF:WPT_aaaa_entropy,tf,0.54716337,8.529606
TF:WPT_aaaa_zcr,tf,0.07695878,0.7311412
TF:WPT_aaaa_p2p,tf,7.0023518,82.137024
TF:WPT_aaaa_tk_mean,tf,3.34293,27.165232
TF:WPT_aaaa_tk_std,tf,9.72278,187.26198
TF:WPT_aaaa_tk_max,tf,147.4255,4046.727
TF:WPT_aaaa_rel_energy,tf,0.19560052,0.9922325
TF:WPT_aaaa_abs_mean,tf,0.4191728,3.5299408
TF:WPT_aaad_mean,tf,0.06113257,0.25348032
TF:WPT_aaad_std,tf,0.31943563,2.7353845
TF:WPT_aaad_var,tf,0.9250411,7.482329
TF:WPT_aaad_skew,tf,0.593732,8.994371
TF:WPT_aaad_kurt,tf,8.647148,166.6167
TF:WPT_aaad_min,tf,2.3491044,22.663223
TF:WPT_aaad_max,tf,2.4925928,24.791824
TF:WPT_aaad_range,tf,4.412573,41.680565
TF:WPT_aaad_median,tf,0.06122533,0.33288097
TF:WPT_aaad_iqr,tf,0.64876586,3.4846787
TF:WPT_aaad_mad,tf,0.32476476,1.7481408
TF:WPT_aaad_energy,tf,479.77347,3876.555
TF:WPT_aaad_log_energy,tf,0.21704614,3.588446
TF:WPT_aaad_rms,tf,0.31965977,2.7356346
TF:WPT_aaad_entropy,tf,0.8274349,8.205075
TF:WPT_aaad_zcr,tf,0.039255947,0.7852998
TF:WPT_aaad_p2p,tf,4.412573,41.680565
TF:WPT_aaad_tk_mean,tf,0.92111766,8.788599
TF:WPT_aaad_tk_std,tf,3.1856043,48.72294
TF:WPT_aaad_tk_max,tf,48.981552,597.6271
TF:WPT_aaad_rel_energy,tf,0.05805175,0.47280356
TF:WPT_aaad_abs_mean,tf,0.3030238,1.9411014
TF:WPT_aada_mean,tf,0.048012577,0.24970575
TF:WPT_aada_std,tf,0.34607518,2.15637
TF:WPT_aada_var,tf,0.71459746,4.6499314
TF:WPT_aada_skew,tf,0.9798741,15.041356
TF:WPT_aada_kurt,tf,13.725863,295.30124
TF:WPT_aada_min,tf,1.580228,14.8440895
TF:WPT_aada_max,tf,1.57033,14.365052
TF:WPT_aada_range,tf,2.8063169,24.470057
TF:WPT_aada_median,tf,0.04982466,0.31784242
TF:WPT_aada_iqr,tf,0.5977116,2.476517
TF:WPT_aada_mad,tf,0.2993718,1.2486305
TF:WPT_aada_energy,tf,370.86874,2410.1594
TF:WPT_aada_log_energy,tf,0.36179924,3.3820457
TF:WPT_aada_rms,tf,0.3464159,2.157039
TF:WPT_aada_entropy,tf,0.84450066,8.156299
TF:WPT_aada_zcr,tf,0.034576297,0.70599616
TF:WPT_aada_p2p,tf,2.8063169,24.470057
TF:WPT_aada_tk_mean,tf,0.72491086,4.4961457
TF:WPT_aada_tk_std,tf,1.5201986,13.817433
TF:WPT_aada_tk_max,tf,20.430008,245.98962
TF:WPT_aada_rel_energy,tf,0.04400444,0.29317525
TF:WPT_aada_abs_mean,tf,0.31128877,1.5128782
TF:WPT_aadd_mean,tf,0.060905356,0.29335126
TF:WPT_aadd_std,tf,0.32148424,2.196604
TF:WPT_aadd_var,tf,0.72994035,4.825069
TF:WPT_aadd_skew,tf,0.96399915,10.025443
TF:WPT_aadd_kurt,tf,12.554962,174.35637
TF:WPT_aadd_min,tf,1.877106,22.10805
TF:WPT_aadd_max,tf,1.7933418,17.960962
TF:WPT_aadd_range,tf,3.2350903,31.68448
TF:WPT_aadd_median,tf,0.056913633,0.3130411
TF:WPT_aadd_iqr,tf,0.6078947,2.5366054
TF:WPT_aadd_mad,tf,0.30452207,1.3015064
TF:WPT_aadd_energy,tf,378.83478,2524.8245
TF:WPT_aadd_log_energy,tf,0.29031786,3.4022312
TF:WPT_aadd_rms,tf,0.32177785,2.2077541
TF:WPT_aadd_entropy,tf,0.8931271,8.176648
TF:WPT_aadd_zcr,tf,0.029932458,0.6943907
TF:WPT_aadd_p2p,tf,3.2350903,31.68448
TF:WPT_aadd_tk_mean,tf,0.75584525,7.0493455
TF:WPT_aadd_tk_std,tf,1.9848014,22.16962
TF:WPT_aadd_tk_max,tf,30.143436,471.83252
TF:WPT_aadd_rel_energy,tf,0.045225367,0.30633655
TF:WPT_aadd_abs_mean,tf,0.3036604,1.5160714
TF:WPT_adaa_mean,tf,0.005059853,0.030550852
TF:WPT_adaa_std,tf,0.071229205,0.47299123
TF:WPT_adaa_var,tf,0.024475703,0.22372068
TF:WPT_adaa_skew,tf,1.6437358,20.008825
